"","Species","Site","Plot","Tree","Sample","Volume","BranchDryMass","Diameter","Notes_WD","WD","Flag_WD","Branchtag","Treetag","Plottag","Sitetag","Lat","Lon","StandBA","TreeDBH","pAI","AI","pAIscaled","pPPT","PPT","pPPTscaled","pPET","PET","pPETscaled","pMD","MD","pMDscaled","Stem_Di","Stem_Length","Stem_wet","Leaf_wet","Leaf_dry","Stem_dry","Notes_LDMC","LDMC","Flag_LDMC","nleaves","tot_area","avg_area","median_area","max_area","min_area","avg_width","avg_height","avg_major","avg_minor","avg_circ","avg_Feret","avg_FeretAngle","avg_AR","avg_Round","avg_Solidity","nscans","SLA","LMA","Al_As","Flag_Area","Loc","Tot_dry","nBranches","Herbivory","Scars","New_Leaves","AIscaled","PETscaled","PPTscaled","MDscaled","Stem_Di_corrected"
"647","ESAL","BEN","B",4,"2",5.79,4.3951,8.1,"",0.759084629,0,"ESAL-BEN-B-4-2","ESAL-BEN-B-4","ESAL-BEN-B","ESAL-BEN",-32.406556,118.385497,NA,NA,0.234,0.234166666666667,-1.01036998336837,344.916,344.927166666667,-1.01375230332824,1474,1473,0.910195055298902,1129.084,1128.07283333333,1.08659169842258,1.23,8.1,NA,2.411,1.3565,0.1092,"",0.5626296143,0,8,42.519,5.314875,5.329,8.262,1.057,5.677625,3.312125,5.586875,1.1445,0.235875,6.801875,150.195,4.780375,0.21275,0.761875,1,31.3446369332842,0.0319033843693408,35.784565327709,0,"WA",1.4657,NA,"MID",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.23
"648","ESAL","BEN","B",4,"3",5.06,3.9059,7,"",0.771916996,0,"ESAL-BEN-B-4-3","ESAL-BEN-B-4","ESAL-BEN-B","ESAL-BEN",-32.406556,118.385497,NA,NA,0.234,0.234166666666667,-1.01036998336837,344.916,344.927166666667,-1.01375230332824,1474,1473,0.910195055298902,1129.084,1128.07283333333,1.08659169842258,0.9,3.7,NA,0.698,0.3857,0.0342,"",0.5525787966,0,2,11.901,5.9505,5.9505,6.09,5.811,7.2125,2.0355,5.7335,1.3295,0.2255,7.3125,9.64,4.3585,0.235,0.7005,1,30.855587243972,0.0324090412570372,18.7077416426453,0,"WA",0.4199,NA,"HEAVY",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.9
"649","ESAL","BEN","C",1,"1",2.39,1.9708,5,"",0.82460251,0,"ESAL-BEN-C-1-1","ESAL-BEN-C-1","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.255,3.7,NA,1.273,0.7582,0.0844,"",0.5956009427,0,3,15.796,5.26533333333333,5.848,6.388,3.56,8.39133333333333,1.66433333333333,7.08866666666667,0.943,0.182666666666667,8.454,63.4273333333333,7.51633333333333,0.140333333333333,0.785,1,20.8335531522026,0.047999493542669,12.769756050271,0,"WA",0.8426,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.255
"650","ESAL","BEN","C",1,"2",2.63,2.1101,5,"MOLD",0.802319392,0,"ESAL-BEN-C-1-2","ESAL-BEN-C-1","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.925,8.8,NA,0.807,0.4617,0.1059,"",0.5721189591,0,3,10.431,3.477,3.43,3.761,3.24,6.65733333333333,2.798,5.04166666666667,0.929333333333333,0.150666666666667,7.05166666666667,115.244333333333,6.09333333333333,0.205,0.53,1,22.5925925925926,0.0442622950819672,15.5226336281178,0,"WA",0.5676,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.925
"651","ESAL","BEN","C",1,"3",4.49,3.7304,6.6,"",0.830824053,0,"ESAL-BEN-C-1-3","ESAL-BEN-C-1","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.01,5.7,NA,2.35,1.3559,0.076,"",0.5769787234,0,5,30.799,6.1598,5.176,9.494,2.479,7.7254,3.6072,6.5208,1.167,0.2156,8.475,58.7988,5.5118,0.1988,0.666,1,22.7148019765469,0.044024156628462,38.4429578553987,0,"WA",1.4319,NA,"LIGHT",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.01
"652","ESAL","BEN","C",2,"1",4.11,3.0387,6.9,"",0.739343066,0,"ESAL-BEN-C-2-1","ESAL-BEN-C-2","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.865,9,NA,1.139,0.6088,0.115,"",0.5345039508,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",0.7238,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.865
"653","ESAL","BEN","C",2,"2",3.14,2.3151,5.9,"MOLD",0.737292994,0,"ESAL-BEN-C-2-2","ESAL-BEN-C-2","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.89,5.2,NA,1.863,0.9902,0.0452,"",0.5315083199,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",1.0354,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.89
"654","ESAL","BEN","C",2,"3",3.61,2.7313,6.2,"",0.756592798,0,"ESAL-BEN-C-2-3","ESAL-BEN-C-2","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.13,11.1,NA,1.575,0.8199,0.1717,"LOTS OF SMALL BUDS",0.5205714286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WA",0.9916,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.13
"655","ESAL","BEN","C",3,"1",2.75,2.1077,6,"",0.766436364,0,"ESAL-BEN-C-3-1","ESAL-BEN-C-3","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,0.565,6.5,NA,1.015,0.5465,0.0492,"",0.5384236453,0,3,17.641,5.88033333333333,6.607,7.253,3.781,7.819,2.19466666666667,6.70166666666667,1.099,0.186,8.065,71.3763333333333,6.04733333333333,0.166666666666667,0.838666666666667,1,32.2799634034767,0.0309789694461765,70.3637912660685,0,"WA",0.5957,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,0.565
"656","ESAL","BEN","C",3,"2",3.67,2.751,6,"",0.749591281,0,"ESAL-BEN-C-3-2","ESAL-BEN-C-3","ESAL-BEN-C","ESAL-BEN",-32.406631,118.378543,NA,NA,0.2345,0.234166666666667,-1.00859614555966,344.9495,344.927166666667,-1.01364772498123,1471,1473,0.889391643604608,1126.0505,1128.07283333333,1.07936317797907,1.025,11.5,NA,1.74,0.913,0.1845,"LOTS OF MINI BUDS DEVELOPING",0.5247126437,0,7,31.794,4.542,5.094,5.655,0.958,5.81128571428571,2.76314285714286,5.77785714285714,0.961571428571429,0.212,6.81471428571429,86.894,5.87014285714286,0.179714285714286,0.823285714285714,1,34.8236582694414,0.0287161099578537,38.531894843294,0,"WA",1.0975,NA,"",NA,0,-1.00975641761082,0.903748106975572,-1.01360100341671,1.08422835578961,1.025
