"","spp","quantCMD.5","quantPPT.5","quantPET.5","quantCMDALA.5","quantPPTALA.5","quantPETALA.5","quantCMDc.5","quantPPTc.5","quantPETc.5","quantCMDcALA.5","quantPPTcALA.5","quantPETcALA.5","quantCMD.10","quantPPT.10","quantPET.10","quantCMDALA.10","quantPPTALA.10","quantPETALA.10","quantCMDc.10","quantPPTc.10","quantPETc.10","quantCMDcALA.10","quantPPTcALA.10","quantPETcALA.10","quantCMD.25","quantPPT.25","quantPET.25","quantCMDALA.25","quantPPTALA.25","quantPETALA.25","quantCMDc.25","quantPPTc.25","quantPETc.25","quantCMDcALA.25","quantPPTcALA.25","quantPETcALA.25","quantCMD.50","quantPPT.50","quantPET.50","quantCMDALA.50","quantPPTALA.50","quantPETALA.50","quantCMDc.50","quantPPTc.50","quantPETc.50","quantCMDcALA.50","quantPPTcALA.50","quantPETcALA.50","quantCMD.75","quantPPT.75","quantPET.75","quantCMDALA.75","quantPPTALA.75","quantPETALA.75","quantCMDc.75","quantPPTc.75","quantPETc.75","quantCMDcALA.75","quantPPTcALA.75","quantPETcALA.75","quantCMD.90","quantPPT.90","quantPET.90","quantCMDALA.90","quantPPTALA.90","quantPETALA.90","quantCMDc.90","quantPPTc.90","quantPETc.90","quantCMDcALA.90","quantPPTcALA.90","quantPETcALA.90","quantCMD.95","quantPPT.95","quantPET.95","quantCMDALA.95","quantPPTALA.95","quantPETALA.95","quantCMDc.95","quantPPTc.95","quantPETc.95","quantCMDcALA.95","quantPPTcALA.95","quantPETcALA.95"
"5%","amyg",-701.919006347656,574.9888,799,-603.610290527344,560,622.703735351562,-701.919006347656,528.5,612.324417114258,-603.610290527344,560,622.703735351562,-467.328002929688,586.9066,823,-475.17900390625,607,636.854614257812,-467.328002929688,565,630.361755371094,-475.17900390625,607,636.854614257812,-217.052551269531,652.953,867,-290.721252441406,705,666.730773925781,-217.052551269531,620,697.487991333008,-290.721252441406,705,666.730773925781,-56.927978515625,825.9327,907,-156.719848632812,849,722.110412597656,-56.927978515625,762,733.705535888672,-156.719848632812,849,722.110412597656,137.781860351562,987.9795,938,15.3115234375,987,751.371398925781,137.781860351562,931,763.826217651367,15.3115234375,987,751.371398925781,200.525085449219,1221.1442,960.2,159.052429199219,1169,779.075744628906,200.525085449219,1111,781.174499511719,159.052429199219,1169,779.075744628906,244.792541503906,1448.15316,977,216.163214111328,1325.9,805.3125,244.792541503906,1413,803.015151977539,216.163214111328,1325.9,805.3125
"5%1","obli",-798.155181884766,611.9323,720,-681.729064941406,687.9957,810,-798.155181884766,571,559.192272949219,-681.729064941406,634,614.468127441406,-650.795727539062,691.93248,760,-541.801696777344,731.99976,836,-650.795727539062,633.4,583.276184082031,-541.801696777344,680,639.456909179688,-469.985595703125,844.9566,805,-310.513671875,853.965,894,-469.985595703125,699.5,631.218688964844,-310.513671875,791,695.847412109375,-227.242553710938,1008,854,-110.920227050781,972.9417,999,-227.242553710938,893,673.798858642578,-110.920227050781,933,808.940734863281,23.9844360351562,1163.9317,892,58.0789794921875,1121.9808,1088,23.9844360351562,1121,720.993804931641,58.0789794921875,1087,936.442626953125,110.522045898438,1388.96104,925,180.782531738281,1333.97056,1161,110.522045898438,1321.4,753.402783203125,180.782531738281,1260,989.462475585937,155.431884765625,1627.55376,941.6,266.982116699219,1461.9186,1185,155.431884765625,1463.7,766.244812011719,266.982116699219,1396,1024.07810058594
"5%2","ovat",-1288.68920898438,550.78138,799,-246.749841308594,659.870765,943,-1288.68920898438,493.2,471.115348815918,-246.749841308594,620,732.416848754883,-598.974938964844,579.3355,830.8,-156.566491699219,691.83158,984,-598.974938964844,544,540.459362792969,-156.566491699219,655,773.671575927734,-311.912811279297,684.9952,867,-52.3809204101562,759.940625,1033,-311.912811279297,615,692.020660400391,-52.3809204101562,729,829.525634765625,12.436767578125,809.9951,892,62.0352172851562,851.99675,1076,12.436767578125,706,716.354858398438,62.0352172851562,827,916.356506347656,144.405822753906,968.976,928,176.409606933594,947.9485,1119,144.405822753906,884,766.325378417969,176.409606933594,949,972.482299804688,250.294616699219,1259.9419,956.8,292.818835449219,1032.09018,1149,250.294616699219,1214.2,805.549481201172,292.818835449219,1035,1001.8837097168,298.386071777344,1755.18636,982.4,351.993667602539,1103.96159,1174,298.386071777344,1985,820.294119262695,351.993667602539,1079,1028.47299194336
"5%3","vimi",-1397.12158203125,565.35944,797.8,-539.585968017578,594.9498,830,-1397.12158203125,549,452.241027832031,-539.585968017578,555,628.536505126953,-1238.83374023438,587.515,810,-405.29345703125,634.9585,853,-1238.83374023438,576,470.944854736328,-405.29345703125,587,646.658123779297,-477.055145263672,704.9326,833,-216.816711425781,731,889,-477.055145263672,641,646.401672363281,-216.816711425781,675,691.274475097656,-118.061218261719,905.9208,883,-25.0485229492188,867.9476,930,-118.061218261719,771,701.166198730469,-25.0485229492188,814,746.218963623047,82.6146850585938,1048.9449,922,141.944183349609,1012.9596,1023,82.6146850585938,1049,748.240432739258,141.944183349609,946,831.28596496582,188.855346679688,1742.9692,948.4,250.628295898438,1148.95656,1146,188.855346679688,1940,772.052429199219,250.628295898438,1103,979.505126953125,227.326599121094,1779.5516,962.6,315.542572021484,1269.9531,1191,227.326599121094,2089,795.088958740234,315.542572021484,1246.5,1017.39352722168
"5%4","emarg",-337.594290161133,444.04146,1102,-305.200256347656,462.4,796.959216308594,-337.594290161133,455.8,791.575866699219,-305.200256347656,462.4,796.959216308594,-229.972698974609,475.93724,1113.1,-194.930065917969,503,839.196569824219,-229.972698974609,506.9,812.79677734375,-194.930065917969,503,839.196569824219,-18.951171875,600.942675,1153.5,63.0224609375,653,990.679504394531,-18.951171875,641.75,888.079040527344,63.0224609375,653,990.679504394531,288.815490722656,802.9406,1298,281.077758789062,845,1084.5166015625,288.815490722656,809,1084.49633789062,281.077758789062,845,1084.5166015625,486.299926757812,968.91025,1357,474.853515625,959,1162.94116210938,486.299926757812,959,1161.98852539062,474.853515625,959,1162.94116210938,623.388757324219,1092.9267,1419,600.311547851563,1103,1223.27807617188,623.388757324219,1102.1,1209.63857421875,600.311547851563,1103,1223.27807617188,714.609722900391,1165.9418,1458.9,642.458801269531,1166,1254.72626953125,714.609722900391,1207.15,1250.37917480469,642.458801269531,1166,1254.72626953125
"5%5","esal",804.919500732422,240.87815,1335,830.391143798828,244.2069,1225.62521362305,804.919500732422,242.1,1223.02325439453,830.391143798828,242,1225.62521362305,886.898449707031,248.9708,1371.4,903.751953125,256.88495,1259.46405029297,886.898449707031,255,1252.95178222656,903.751953125,255.5,1259.46405029297,970.823516845703,272.9679,1440,976.2783203125,282.920275,1347.52026367188,970.823516845703,276,1350.07922363281,976.2783203125,282.25,1347.52026367188,1095.34680175781,320.9612,1505,1079.61981201172,321.9503,1417.73413085938,1095.34680175781,323.5,1422.73675537109,1079.61981201172,325.5,1417.73413085938,1173.26818847656,364.981925,1534,1173.26818847656,361.923675,1458.26818847656,1173.26818847656,361,1458.26818847656,1173.26818847656,359,1458.26818847656,1236.56468505859,429.98877,1563,1235.49877929688,419.86705,1493.39135742188,1236.56468505859,400,1494.044921875,1235.49877929688,393,1493.39135742188,1256.30120239258,450.891,1581.95,1256.81579589844,443.37425,1504.85986328125,1256.30120239258,431,1507.080078125,1256.81579589844,415.75,1504.85986328125
"5%6","coca",-271.193524169922,475.52214,1112.4,-28.8218627929688,630,888.363830566406,-271.193524169922,477,810.620529174805,-28.8218627929688,630,888.363830566406,-196.867797851562,511.30686,1124,95.3549072265626,745,1032.77241210937,-196.867797851562,517,832.104614257812,95.3549072265626,745,1032.77241210937,10.1080932617188,637,1175,288.773071289062,759,1118.46923828125,10.1080932617188,644.75,940.640563964844,288.773071289062,759,1118.46923828125,332.4931640625,797.8776,1319,359.868408203125,768,1118.86840820312,332.4931640625,798,1103.13690185547,359.868408203125,768,1118.86840820312,518.241943359375,964.8756,1376,359.868408203125,832,1127.92846679688,518.241943359375,946,1202.24029541016,359.868408203125,832,1127.92846679688,680.114038085938,1081.9017,1445,420.905493164062,932,1188.72004394531,680.114038085938,1104.1,1272.05017089844,420.905493164062,932,1188.72004394531,765.575073242188,1148.896,1469,551.940673828125,1026.3,1243.08389892578,765.575073242188,1206.75,1300.87256469727,551.940673828125,1026.3,1243.08389892578
"5%7","acac",717.573461914062,262.304065,1336.7,717.607983398437,262.90076,1338,717.573461914062,259,1175.40612792969,717.607983398437,259,1176.41010742187,777.231079101562,275.95416,1361,780.306591796875,276.92519,1364,777.231079101562,272,1246.12883300781,780.306591796875,270,1247.80437011719,922.28857421875,300.8992,1458,934.266967773438,297.895225,1461.25,922.28857421875,297,1336.44738769531,934.266967773438,297,1338.87045288086,1073.85327148438,337.8756,1515,1078.40661621094,333.91265,1516,1073.85327148438,341,1417.49127197266,1078.40661621094,340,1418.90972900391,1161.81652832031,422.951225,1550,1168.81494140625,415.9491,1557,1161.81652832031,407,1465.06442260742,1168.81494140625,400,1473.59326171875,1223.86213378906,484.8646,1639,1230.29018554687,480.9636,1642,1223.86213378906,482,1511.71286621094,1230.29018554687,475.4,1515.3142578125,1254.18562011719,524.552135,1670,1268.387890625,518.9855,1675.35,1254.18562011719,527,1553.46171875,1268.387890625,517,1561.5577331543
