"","Plottag","CLY","SND","SLT","PTO","NTO","AWC","BDW","ECE","DES","DER","PC1fert","PC2depth","MAT","Elev","Tmin"
"1","ACAC-BEN-A",16.4023151397705,72.1471729278565,4.28791876633962,0.00907439598813652,0.0446082931011915,10.0455493927002,1.54003361860911,7.06110231081645,0.698574483394623,7.82645702362061,-2.87741283977503,1.63263244720424,16.6000003814697,352,4.5
"2","ACAC-BEN-B",22.2956734498342,68.451135635376,6.3240761756897,0.0101144634342442,0.0419986055543025,12.5445960362752,1.50833713014921,8.72502573331197,0.774512588977814,11.743332862854,-2.00046437753225,0.669356159437989,16.7000007629395,344,4.5
"3","ACAC-BEN-C",18.9610775311788,71.7407162984212,4.60930289824804,0.00946437699409823,0.0391481202095747,9.964590549469,1.52975727121035,7.42576257387797,0.706691145896912,7.63473272323608,-2.71704049019497,1.65696398932462,16.6000003814697,373,4.40000009536743
"4","ACAC-GNO-A",24.9903597036997,69.101749420166,3.97444467743238,0.0122256127651781,0.0411975880463918,12.4697692394256,1.51239560047785,9.48237729072571,0.652231276035309,14.8166275024414,-2.13762978826254,1.42882222255251,15.6000003814697,259,5.69999980926514
"5","ACAC-GNO-B",26.8365062872569,67.7920265197754,4.07368020216624,0.0110821067355573,0.044232760866483,12.8388542334239,1.48348235090574,9.12774141629537,0.757909834384918,21.4403057098389,-2.09275275505502,0.282227178774158,15.6000003814697,250,5.80000019073486
"6","ACAC-GNO-C",26.133024374644,67.146910349528,3.82972792784373,0.0129292505638053,0.0464603962997595,11.9891555309296,1.50761815905571,8.72946858406067,0.728062927722931,13.9870862960815,-2.00666865077764,0.977047633732971,15.6000003814697,245,5.80000019073486
"7","ACAC-NAR-A",15.4605885346731,75.1513538360596,3.41991913318634,0.0144648468121886,0.057010708997647,12.1359788576762,1.52279566725095,7.41497147083282,0.794938683509827,6.5339093208313,-2.38804188706685,0.580839608110552,15.6000003814697,365,5
"8","ACAC-NAR-B",18.4210341771444,72.3737557729085,3.67267203330994,0.0131406808116784,0.0458213475843271,12.1436967055003,1.51924728353818,6.2443778514862,0.772645056247711,9.83794689178467,-2.46634633236595,0.632377374664449,15.6000003814697,362,5
"9","ACAC-NAR-C",19.2559010187785,72.4170220692953,4.5797692934672,0.0116619597344349,0.0513403884445627,11.9930392901103,1.51332325736681,6.7915453116099,0.849927484989166,6.10441303253174,-2.19720328313331,0.326980078070656,15.6999998092651,340,5
"10","ACAC-PER-A",19.776093006134,71.329527537028,4.9578818877538,0.0136730547528714,0.0363968154415488,11.4079486529032,1.5557473997275,6.6314742565155,0.794926047325134,14.79833984375,-2.6624996530176,0.376448936170602,19.5,306,6.40000009536743
"11","ACAC-PER-B",19.2052117188771,67.1883481343587,4.51111914714178,0.0135908039907615,0.0367107071603338,9.61961857477823,1.56745860973994,8.36723168690999,0.733017981052399,15.3591938018799,-2.80684910190002,1.12842883967917,19.5,306,6.40000009536743
"12","ACAC-PER-C",18.1124342282613,70.8306776682536,4.65841444333394,0.0139372461320212,0.0333918801819285,11.9724913438161,1.56534897287687,7.21973554293315,0.796643137931824,21.9845485687256,-2.91362274099608,-0.100983026310085,19.5,313,6.30000019073486
"13","COCA-GRIM-A",15.1791009902954,76.2547079722087,3.78597223758698,0.0147844296103964,0.100958341732621,13.0822921593984,1.52493823568026,5.47866801420848,0.930334627628326,5.02439022064209,-1.94752129146526,-0.644482464371803,14.6999998092651,281,4.59999990463257
"14","COCA-GRIM-B",15.5418097178142,76.0641040802002,3.80226449171702,0.0139006870643546,0.0943439429004987,13.1948913733164,1.51566164692243,5.87386492888133,0.883162140846252,6.49385404586792,-2.01363267686006,-0.352245453601594,14.6999998092651,281,4.59999990463257
"15","COCA-GRIM-C",16.5821029345194,74.9634666442871,4.04821948210398,0.0139000648632646,0.102746040249864,13.6143240133921,1.51861747105916,7.71994829177856,0.978101849555969,8.16615200042725,-1.73783666062396,-1.13398943313896,14.8000001907349,268,4.59999990463257
